"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","10/79","70/9422",0.142857142857143,17.0379746835443,12.3841204574856,2.52923526326171e-10,4.70437758966678e-08,3.80716465943604e-08,"3106/3122/3133/1981/3123/3135/3127/60/3108/3126",10
"Human Diseases","Immune disease","hsa05330","Allograft rejection","8/79","39/9422",0.205128205128205,24.4647841609867,13.5019620260436,8.48378030193951e-10,7.59794722379318e-08,6.14887636107767e-08,"3106/3122/3133/3123/3135/3127/3108/3126",8
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","14/79","205/9422",0.0682926829268293,8.14498301945045,9.51047505720594,1.22547535867632e-09,7.59794722379318e-08,6.14887636107767e-08,"3106/3122/23118/9541/3133/960/3123/3135/3127/4793/5971/4067/3108/3126",14
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","8/79","44/9422",0.181818181818182,21.6846950517837,12.6455935790533,2.36308495095948e-09,1.06196647664226e-07,8.59429576456385e-08,"3106/3122/3133/3123/3135/3127/3108/3126",8
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","8/79","45/9422",0.177777777777778,21.2028129395218,12.4912245239565,2.85474859312436e-09,1.06196647664226e-07,8.59429576456385e-08,"3106/3122/3133/3123/3135/3127/3108/3126",8
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","8/79","54/9422",0.148148148148148,17.6690107829348,11.2954136409899,1.29700019218585e-08,4.02070059577615e-07,3.25387767513293e-07,"3106/3122/3133/3123/3135/3127/3108/3126",8
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","9/79","82/9422",0.109756097560976,13.0901512812596,10.1107668606807,2.2985080664681e-08,6.10746429090096e-07,4.94265644368329e-07,"3106/3122/4802/3133/3123/3135/3127/3108/3126",9
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","10/79","160/9422",0.0625,7.45411392405063,7.57117183720805,7.92356979064004e-07,1.84222997632381e-05,1.49088221060727e-05,"3106/3122/2734/5792/3133/3123/3135/3127/3108/3126",10
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","10/79","180/9422",0.0555555555555556,6.62587904360056,7.00749076645701,2.32344381748024e-06,4.80178388945916e-05,3.88599375321257e-05,"3106/3122/3054/23118/3133/3123/3135/3127/3108/3126",10
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","6/79","50/9422",0.12,14.3118987341772,8.67816174925049,3.39644471154947e-06,6.16227187005437e-05,4.98701119081932e-05,"3122/3123/7852/3127/3108/3126",6
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","7/79","78/9422",0.0897435897435897,10.7033430704317,7.91263524374626,3.64435433175258e-06,6.16227187005437e-05,4.98701119081932e-05,"3122/23118/3123/3127/4793/3108/3126",7
"Human Diseases","Immune disease","hsa05310","Asthma","5/79","32/9422",0.15625,18.6352848101266,9.1884772432457,6.15037909779516e-06,9.5330876015825e-05,7.7149492191641e-05,"3122/3123/3127/3108/3126",5
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","7/79","100/9422",0.07,8.34860759493671,6.79312148093242,1.90538450476647e-05,0.000272616552220433,0.00022062346897296,"3122/1438/960/3123/3127/3108/3126",7
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","7/79","109/9422",0.0642201834862385,7.65927302287771,6.43004691239592,3.33915997296896e-05,0.000443631253551591,0.000359022463259069,"3122/9466/3123/3127/4793/3108/3126",7
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","7/79","112/9422",0.0625,7.45411392405063,6.31814619808968,3.97908120260855e-05,0.00049340606912346,0.000399304289103876,"3122/23118/3123/3127/4793/3108/3126",7
"Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","10/79","260/9422",0.0384615384615385,4.58714703018501,5.39336212911903,5.80230360434133e-05,0.000674517794004679,0.000545874615408427,"3106/3122/6810/3133/3123/3135/3127/60/3108/3126",10
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","9/79","224/9422",0.0401785714285714,4.79193037974684,5.28149088630798,0.000100201938021896,0.0010963270865925,0.00088723697443536,"3106/3122/3133/3123/3135/3127/5971/3108/3126",9
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","6/79","93/9422",0.0645161290322581,7.69456921192323,5.96575531365357,0.00012243500887615,0.00126516175838688,0.00102387171165435,"3122/3123/3127/4793/3108/3126",6
